province,district,town
Cabo Delgado,Ancuabe,Ancuabe
Cabo Delgado,Ancuabe,Chiure-Sede
Cabo Delgado,Ancuabe,Metoro
Cabo Delgado,Ancuabe,Meza
Cabo Delgado,Ancuabe,Murrebue
Cabo Delgado,Balama,Balama
Cabo Delgado,Balama,Impiri
Cabo Delgado,Balama,Kwekwe
Cabo Delgado,Balama,Mavala
Cabo Delgado,Chiúre,Chiure Velho
Cabo Delgado,Chiúre,Katapua
Cabo Delgado,Chiúre,Mazeze
Cabo Delgado,Chiúre,Namogelia
Cabo Delgado,Chiúre,Ocua
Cabo Delgado,Macomia,Chai
Cabo Delgado,Macomia,Macomia-Sede
Cabo Delgado,Macomia,Mucojo
Cabo Delgado,Macomia,Quirimba
Cabo Delgado,Macomia,Quissanga
Cabo Delgado,Macomia,Quiterajo
Cabo Delgado,Mecufi,Mecufi
Cabo Delgado,Meluco,Meluco
Cabo Delgado,Meluco,Muaguide
Cabo Delgado,Mocimboa da Praia,Diaca
Cabo Delgado,Mocimboa da Praia,Mbau
Cabo Delgado,Mocimboa da Praia,Mocimboa Da Praia
Cabo Delgado,Montepuez,Mirate
Cabo Delgado,Montepuez,Montepuez Cidade (Sede)
Cabo Delgado,Montepuez,Montepuez Cidade
Cabo Delgado,Montepuez,Nairoto
Cabo Delgado,Montepuez,Namanhumbir
Cabo Delgado,Mueda,Chapa
Cabo Delgado,Mueda,Imbuho
Cabo Delgado,Mueda,Mueda-Sede
Cabo Delgado,Mueda,N'Gapa
Cabo Delgado,Mueda,Negomano
Cabo Delgado,Muidumbe,Chitunda
Cabo Delgado,Muidumbe,Miteda
Cabo Delgado,Muidumbe,Muidumbe
Cabo Delgado,Namuno,Hucula
Cabo Delgado,Namuno,Luli
Cabo Delgado,Namuno,Machoca
Cabo Delgado,Namuno,Meloco
Cabo Delgado,Namuno,Namuno-Sede
Cabo Delgado,Namuno,Ncumpe
Cabo Delgado,Nangade,Nangade
Cabo Delgado,Nangade,Ntamba
Cabo Delgado,Palma,Olumbe
